,date,id,Tweets,likes,retweets
94,2023-02-06 09:37:34+00:00,1622529926556688384,@Vinaysheel_cg @Pawankhera @Jairam_Ramesh @bhupeshbaghel Agar Hindenberg ki report ghalat hai to 100 Billion dollars ka jo nuksan Adani Group ko hua uske against US Fedral Court mein case kyon nahin karte.CHOR KI DADHI MEIN TINKA,0,0
95,2023-02-06 09:33:07+00:00,1622528809131216898,Buying adani Stocks after Hindenberg report  https://t.co/PD3S0WcLJ5,0,0
96,2023-02-06 09:30:00+00:00,1622528024603140098,"#NLTippani: खबरिया चैनलों ने #HindenbergReport पर चुप्पी साध ली.

हिंदी के पाठक, दर्शक वर्ग को पता ही नहीं चला कि इतना बड़ा तूफान कहां से आया और किस ओर जा रहा है.

देखिए पूरा एपिसोड: https://t.co/Kek6czBH8Z https://t.co/6RJYLEkqaz",49,13
97,2023-02-06 09:23:54+00:00,1622526489911492609,"@AbhishBanerj yes I will, equally for them to suppressing the other important news like Hindenberg report on Adani. Media's quiteness on some key issue to the country is surprsing.",0,0
98,2023-02-06 09:21:28+00:00,1622525876452884480,"Whole points of debates around #hindenbergreport and #adanigroup wrong, when it should be debated why  #adanigroup shares under-priced, people talking over-priced on basis of a false report! #AdaniEnterprises",0,0
99,2023-02-06 09:15:35+00:00,1622524395284729856,"@_sabanaqvi @RahulGandhi brought up Adani as long as it was a mild talking point for @INCIndia. As soon as real powerful ppl were hurt by the short, he is now careful to avoid stepping on their toes. Bc #HindenbergReport didnt jst expose #Adani but the entire corporate-Mauritius-#SEBI nexus",0,0
100,2023-02-06 09:04:07+00:00,1622521508315955200,"Quant schemes have lost more than their peers and benchmarks since the adani controversy started. The Hindenberg report was released on January 24. Since then most Quant Mutual Fund schemes have been falling.

#mutualfunds 

https://t.co/xfVezY0imb",1,0
101,2023-02-06 09:01:01+00:00,1622520731040124928,"Indians are taking the attack on Adani personally. In doing so, they are overlooking the fact that the Hindenberg report is yet to be disproven. 

Keep an open mind. It might save your portfolio. 
#Adani #HindenbergResearch",1,0
102,2023-02-06 08:52:27+00:00,1622518571640426496,"BBC Documentary critical of PM Modi released on 17 Jan 2023

Hindenberg Report accused Adani Group of alleged fraud released on 24 Jan 2023

Pathan released on 25 Jan 2023... and becomes blockbuster.

What a happy nation ka chronology samajhiye!",0,0
103,2023-02-06 08:44:48+00:00,1622516648308785154,"@SupriyaShrinate Just out of curiosity, did u by any chance read hindenberg report and the reply from Adani or just running on fumes to get trending. 2. What's ur exposure to reading and understanding financial statements?",0,0
104,2023-02-06 08:23:22+00:00,1622511255201382400,"@Praveenananth09 these ppl would have done many shady practices in the indian market which the likes of hindenberg couldnt even dream of doing in the us becoz of strict sec regulations there,they are probably rattled becoz ketan parekh's name is mentioned by hindenburg in their report.",1,0
105,2023-02-06 08:12:25+00:00,1622508498893537280,@minicnair What is New in Hindenberg Report ? they declared all in their Balance Sheet already from beginning. Do  you understand that ? or just fanning your wild fantasies here ?,0,0
106,2023-02-06 08:00:00+00:00,1622505372962488327,"RT | @ShantanuGuhaRay : Hindenberg is an analyst firm, acting for Third party clients. They had done a similar job on a Chinese firm. That case is still going on. SEBI should be able to find those who shorted basket of Indian equities 2-3 days before report was published.",1,0
107,2023-02-06 07:47:38+00:00,1622502261116264449,"From this, I can tell you that all these jokers who have been jumping on the Hindenberg report that LIC and India’s Banking system are held ransom to Adani’s whims and fancy—please smell the coffee.*

#india #investment #australia #banking #mining #adani #adani
#HindenburgReport",40,8
108,2023-02-06 07:43:53+00:00,1622501316261199872,"@RGresurface Doubt if Adani would like to jerk the tiger's tail. 

Thus far Hindenberg has only filed a report of its findings.

If he sues, the findings  will be released.

He'll let sleeping dogs lie and hope the news cycle moves on.",3,1
109,2023-02-06 07:43:38+00:00,1622501253153689601,It seems this hindenberg report will only be a temporary drop in the Adani/bjp rise. They can manage anything. The system of using influencers and tv news to divert the narrative in their favour is working well for them.,0,0
110,2023-02-06 07:43:26+00:00,1622501203027558400,"@Jitumoni28 @virendersehwag He is speaking sense check the expose of Hindenberg who themselves are under enquiry by FBI for misuse of funds and are banned for publication of any report in both US and Switzerland, the fact is market will swing this or that way but we indians love to mock our capitalism",1,1
